Get a loan	
testing	
Pay off car	Personal Loans, Vehicle Loan
Hi there! I am in the process of switching banks because my Husband and I are joining accounts. We are both switching to a join account through SoFi. How should I go about transferring my current checking and savings account?	Vehicle Loan, Commercial Loans, Accounts
bank phone number	
Hi there! I need some help with…login	
i put a application  in for a checking account on your website and was wondering the staus on that	Accounts
Hi, I just had a question on what would be the best course of action for a large withdraw or payment. I am getting a new car in a few weeks and plan on making a large down payment. Would something like that be best to write a cashier’s check or can I simply have them take it out of checking? I’ll of course have to move the amount from savings to checking first. Thanks!	Vehicle Loan, Tax Information
Hi there! I need some help with… my debit card I forgot the pin	Vehicle Loan, Debit Cards, Retail Banking
I’m not seeing my account	
online banking	
I received an email saying my tax statement is available. I am trying to get my IRA tax statement for the IRS. I don’t have the IRA account number	Retirement Planning, Statements, Home Loans, Investing, Tax Information
I need the route number	
Is there a fee to cash a money order? I have accounts with AIQFinancial and I am a senior citizen.	Retirement Planning
How come the first day I was negative it automatically subtracted an overdraft fee? This is the first time I believe I’ve ever been overdraft	Tax Information, Accounts
I would like to set up a savings account for my daughter	Vehicle Loan, Accounts
I was wondering how much money do I have to have in my account before it is like frozen or im not able to use it	Fraud
can i update my phone number via chat?	
Reading this small print	
For some reason won't deposit check	Cash Management, Retail Banking
i have seen two charges from fred meyer on card didnt make	Vehicle Loan, Fraud
I need to close account# 000000.	
Is there a way for me to see the checks I deposited	Cash Management, Retail Banking
My acct is locked	Commercial Loans, Online Accounts
We are in Hawaii for our anniversary.  Justbwanted to give you heads up so you know it isnt fraud.	Fraud
Mailing address	
You.all keep changing your format.how do I find in my account if.an tracrataton has cleared?	
does AIQFinancial accept zelle payments	Payments
My purse  was stolen	Fraud
Why can I not deposit checks using the app	Cash Management, Retail Banking
Hello! I have been trying to log into my account on the AIQFinancial banking app but it says my account is locked, could you help me get that fixed? Thank you!	Commercial Loans, Online Accounts
i have been trying to deposit a check online and it will not let me	Cash Management, Retail Banking
I’m trying to make a remote deposit of my monthly paycheck. My account is overdrawn and the mobile ap says my deposit accounts can’t be retrieved?!	Cash Management, Retail Banking
Hi there! I need some help with…it says I have an invalid password so I cannot access my acct.  if I try one more time it will lock me out	Commercial Loans, Online Accounts, Home Loans
I am trying to confirm that I was removed off  joint account	
Certificate of Deposit	Cash Management, Retail Banking, Investing
How to switch an account to e statements	Statements
I am trying to update my mobile banking contact information. My daughter recently died and all of the information is under her name and phone number and I no longer have access to her phone and don't know her email password.	Death of a Relative, Trust/Estate Planning, Online Accounts
I need my account unlocked	Commercial Loans, Online Accounts
Why can I transfer money from my savings to my checking. It keeps reading failed	Vehicle Loan
We are leaving on a cruise on Monday to Mexico. Is there anything we need to do to keep our bank cards working?	Vehicle Loan, Marital Status
Raising spending limit	
Does AIQFinancial have a prepaid credit card to use for all online purchases?	Vehicle Loan, Commercial Loans, Credit Card
What are the banks hours today	
Hi there! I need some help with… retrieving my username	Vehicle Loan, Online Accounts
Hi there! I need some help with…my check for $550 written is going back. I have $56 in my account. Can you please make sure to clear that check?	
Phillip you still there?	
High I am trying to see if I still have a recurring transfer from my checking to my mortgage. My mortgage payment recently dropped due to needing less in the escrow so I want to cancel that initial recurring payment and set up a new one for the new amount	Home Loans
I *just* opened a new account at a branch	
Hi. I just ordered checks, but did not receive receipt in email. I’m just double checking on that.	
Hi there! I need some help with unlocking my account	Commercial Loans, Online Accounts
Incoming wire transfer	Commercial Banking, Retail Banking
video chat	
Why did I get a service charge again?  I talked to someone on March 30 and they refunded service charge.  The balance has not dropped under 2500k   Thanks	Vehicle Loan
Please close this account. I have been working on consolidating, as I am get older, & trying to simplify my banking, insurance & investment activities. I thank you for the many years of service.	Vehicle Loan, Investing
Agent	
Secured credit card	Vehicle Loan, Commercial Loans, Credit Card
How to set up wire transfer	Commercial Banking, Retail Banking
My app won't show my balance and activity what's been coming out of my account	
Unlock my account	Commercial Loans, Online Accounts
mailing address for human resource department	
I applied for a checking account how do I know if approved	Accounts
I am trying to pay loan and it shows error where I can’t pay	
Hi there! I need some help with… a transaction..\nI was charged twice at the store this morning the transaction was of 54.51 so they charged me 109.02 so I'm wanting to cancel one of the 54.51	
How do I set my car payment up for automatic withdrawals?	Vehicle Loan
Want to change the picture on new debit card. How can I get it ordered and do curbside pickup?	Vehicle Loan, Debit Cards, Retail Banking
Hi there! I need some help with...	
Unlock online ID	Commercial Loans, Online Accounts
We will be traveling from now until sometime in August.  We are headed to Alaska, entering Canada May 22.  Arriving in AK around June 5th, Return trip is planned starting early August.	Vehicle Loan
I need to speak to a real person about faulty boots i purchased	
Hi there! I need some help with…lost debit card. I've disabled it until I can visit my branch tomorrow. Will this secure my account or should I report it lost?	Vehicle Loan, Debit Cards, Retail Banking
AIQFinancial mobile app trying to set it up. Won’t let me set a password	Online Accounts
Hi, I am looking for your lowest fee checking account. What would that be?	Accounts
Like to cancel my card	Vehicle Loan
I need to raise my spending limit	
credit card	Vehicle Loan, Commercial Loans, Credit Card
Can I see individual checks deposited	Cash Management, Retail Banking
Close my account	
other	
I applied yesterday online, how do I go about getting my account number	
how do i deposit a check emailed to me ?	Cash Management, Retail Banking
My card was declined	Vehicle Loan, Credit Card, Debit Cards, Retail Banking
what’s the maximum amount my account can hold	
Unblock my card I verify any transactions	Vehicle Loan, Commercial Loans
change address for mail	
I've been locked out of my online banking account and it told me to contact customer support for a password reset.	Commercial Loans, Online Accounts
ATM max withdrawal	Retail Banking
Are the banks not open til 18th?	Children and Savings
What is going on with my account it say 0.00 why please	
How do I make a mobile check deposit?	Cash Management, Retail Banking
Change password	Online Accounts
What is your routing number?	Retail Banking
I would like to dispute a charge of 12.95 on 6/25 on my previous card. I have already cancelled my previous card and have been issued a new one.	Vehicle Loan
Hello can you pull a specifiz	
My funds transfer will not go thru	
Hello I was just seeing how I’m in a negative if yesterday I deposited a check for 411.00	Cash Management, Retail Banking
I can’t sign in	
i would like to try and stop a payment that is pending on my account	
do you finance motorcycles?	Vehicle Loan
I need to setup pin to my debit card	Vehicle Loan, Debit Cards, Retail Banking
Zelle	Payments
I would like to pay off a loan with a check that has to be mailed to Extra co banks. Where do mail the check and to whose attention? Also, how do I get my loan number. I cannot get into an account.	Personal Loans, Marital Status
who is AIQFinancial's Merchant Service Provider, as in who processes credit card funds for AIQFinancial	Vehicle Loan, Cash Management, Commercial Loans, Credit Card
Hello	
What is the daily transaction  limit amunt	
Hello! I’d like to utilize the mobile check deposit feature, but I’m having trouble finding it on the Home Screen or on my side menu. When I go to settings to enroll it says that I’m currently enrolled. I may be too tired to be literate, so let me know if the mobile deposit button has moved and I’m just missing it!	Vehicle Loan, Cash Management, Commercial Loans, Retail Banking, Home Loans
My online banking account is locked	Commercial Loans, Online Accounts
Hi! I just wanted to open a savings account	Vehicle Loan, Accounts
Hello I would like to know the status of my application	
I need to reset my passcode for the banking app.  I locked myself out.	Commercial Loans, Online Accounts
wire transfer	Commercial Banking, Retail Banking
Hello, it’s Alisha 😊 I’m off today but I’m wanting to transfer money from one of my savings accounts to my moms bank at Astound. What’s the best way for me to do that instantly where there isn’t a day wait?	Vehicle Loan, Accounts
Good morning just received a paycheck from job need assistance with depositing online	Cash Management, Retail Banking
telling me a joke	
My account has been locked.  I need to reset my password.	Commercial Loans, Online Accounts
I’m trying to put funds thru my app. I can’t figure it out.	
Need to speak with the person in charge of Temple Fire's pension	
Deposit check via phone	Cash Management, Retail Banking
I had an issue that I reported at 4:45 P.M. yesterday. I was at the Harker Heights ATM in the bank parking lot. I deposited 2 checks. The machine had an error and the checks did not process. I am trying to get an update on this issue.	Cash Management, Retail Banking
I have a question about transferring money from a AIQFinancial bank account to a different bank?	Accounts
How do you do a wire transfer	Commercial Banking, Retail Banking
I just received an email saying I logged into my account at 8:53 am and I didn't log in at that time. I'm concerned	
Hi,	
Can i have Access to deposit a check through the app	Cash Management, Retail Banking
Can you please verify why my account balances are both at zero?	
reset password	Online Accounts
Is my card active?	Vehicle Loan
Testing chat.	
I'm trying to access my account to pay bills, but I've forgotten my user name.	Online Accounts
i am not able to use wire transfer	Commercial Banking, Retail Banking
Where can I unlock my account at>	Commercial Loans, Online Accounts
I need the 2022 Form 1099-INT	
pheonix properties	
Zelle	Payments
please reset my password on the webpage?	Online Accounts
Dispute charges	Fraud
Good afternoon. How do I change my address and start using Gmail for statements	Statements
Huh my daughter is stuck at one of your locations	Commercial Loans
Hi there! I need some help with my login for AIQFinancial….I am entering the correct information but it won’t let me rest my password	Online Accounts
Live chat	
Hi there! I need some help with...the title to my car.\nYOUR employee sent the clear title for my car to Montief Title instead of me.\nAs it turns out, they lost it!\nI received a “lien release “ from Gina, I called & asked what I was supposed to do with it, she advised me to go to the DMV & get a new title.  I went to the local DMV, waited for 2 hours to be told that I have to go to the Waco or Austin office and APPLY, or that I could do the application by mail!!  I’m SO angry!  I didn’t make this mistake YOU did!  Now I’m supposed to be the one going through all of this shit??  I don’t think so, I suggest that YOU send one of YOUR employees to the local office and get this resolved & immediately mail MY title to ME!  I’ve NEVER been told so much crap nor am I willing to be put out anymore than I have been!	Vehicle Loan, Cash Management, Commercial Loans, Complaints
Where can a change of address be done	
Dispute transaction	
Hi there! I need some help with…	
Estaments	
Hi there! I need some help with…knowing the amount I still owe on my car loan	Vehicle Loan
I received a notice that my debit card did not work on a computer payment at dell.  Its on my brad glasson enterprise	Vehicle Loan, Debit Cards, Retail Banking
Can I make a WIRE or ACH transfer from my checking account to another person’s BANK OF AMERICA checking account?	Cash Management, Retail Banking, Accounts
Hi, how would I go about making a ACH?	Cash Management
Hi there! I need some help with…	
I need to speak with someone regarding a full hold on a check deposited	Cash Management, Retail Banking
cds	Investing
pay off on my loan	Personal Loans
Banker	
How do I locate my routing number	Commercial Loans, Retail Banking
I need a direct deposit form for my account	Cash Management, Retail Banking, Accounts
2021 Tax Statement	Statements, Tax Information
I just set up my checking account yesterday but now it won't let me enroll for online banking	Accounts
My login has been locked out and I can’t undo it	Commercial Loans, Online Accounts
Cannot find my savings account on app	Vehicle Loan, Accounts
Hi there! I need some help with…my online banking login and password reset	Online Accounts
Hello. I am reporting a lost debit card.	Vehicle Loan, Debit Cards, Retail Banking
Looking for an internal certificate of trust form for customer to complete	
I am trying to order dog food and I keep getting payment authorization failed - why? It's for Pet Supply Plus in the amount of $37.28	
Why is my debit card being declined	Vehicle Loan, Credit Card, Debit Cards, Retail Banking
Hi there! I need some help with trying to figure out my daily spending limit on my debit card because I'm going to be buying a printer today and I need to know if I buy it then the transaction will go through.	Vehicle Loan, Debit Cards, Retail Banking
What are the current interest rates on unsecured personal loans?	Personal Loans, Vehicle Loan, Credit Card
There was a online transaction to Sam's that I did not do.  So I need to start a fraud to get this straightened out.  I have canceled my card  already.	Vehicle Loan, Fraud
How do I deposit a check on the phone	Cash Management, Retail Banking
Where can I find a list of your mortgage lenders at Georgetown address	Home Loans
Hi there! I need some help with…	
Where do I find the routing number for my branch?	Retail Banking
I need to delete a recurring payment from Bill pay and there is no delete button.	
I need to close my account. Is there a way to do this online?	
Yes I would like to know why the damn check I deposited 10 days ago still has not cleared??? I’m overdrawn now because y’all want to hold my check	Cash Management, Retail Banking
Hi there! I need to increase my daily spending limit to 5000 dollars for today I'm going to buy a ring and I to increase my limit for today	Commercial Loans
How to apply for a loan	
Deposit a check	Cash Management, Retail Banking
Add someone to bank account	Accounts
i need to transfer money out of a trust accout	
I need to raise my deposit limit. I work nights and getting to the bank during business hours is a nightmare	Cash Management, Retail Banking
reporting a loan officer	
I lost the chat about adding another account to my login.	
Mortgage payment	Home Loans
Hi there! I need some help with…logging into the app	
