Get a loan	loan
testing	testing
Pay off car	pay car, pay, car
Hi there! I am in the process of switching banks because my Husband and I are joining accounts. We are both switching to a join account through SoFi. How should I go about transferring my current checking and savings account?	switching banks, joining accounts, sofi, husband joining, current
bank phone number	bank phone, phone number, number, phone
Hi there! I need some help with…login	help login, login
i put a application  in for a checking account on your website and was wondering the staus on that	checking account, account website, application, website wondering, staus
Hi, I just had a question on what would be the best course of action for a large withdraw or payment. I am getting a new car in a few weeks and plan on making a large down payment. Would something like that be best to write a cashier’s check or can I simply have them take it out of checking? I’ll of course have to move the amount from savings to checking first. Thanks!	withdraw payment, write cashier, making large, new car, like best
Hi there! I need some help with… my debit card I forgot the pin	debit card, forgot pin, card forgot, hi need
I’m not seeing my account	seeing account, seeing
online banking	online banking, banking, online
I received an email saying my tax statement is available. I am trying to get my IRA tax statement for the IRS. I don’t have the IRA account number	ira account, irs don, email saying, received, statement
I need the route number	route number, need route, route, number
Is there a fee to cash a money order? I have accounts with AIQFinancial and I am a senior citizen.	fee cash, order accounts, aiqfinancial senior, money, citizen
How come the first day I was negative it automatically subtracted an overdraft fee? This is the first time I believe I’ve ever been overdraft	overdraft fee, negative automatically, subtracted, time believe, come
I would like to set up a savings account for my daughter	savings account, account daughter, daughter, like set
I was wondering how much money do I have to have in my account before it is like frozen or im not able to use it	money account, like frozen, im able, use, wondering
can i update my phone number via chat?	number chat, update phone, phone number, number, update
Reading this small print	small print, reading small, print, reading, small
For some reason won't deposit check	deposit check, won deposit, check, reason, won
i have seen two charges from fred meyer on card didnt make	charges fred, card didnt, meyer, make, seen
I need to close account# 000000.	close account, 000000, close
Is there a way for me to see the checks I deposited	checks deposited, checks, way checks, deposited, way
My acct is locked	acct locked, locked, acct
We are in Hawaii for our anniversary.  Justbwanted to give you heads up so you know it isnt fraud.	hawaii anniversary, anniversary justbwanted, isnt fraud, know, justbwanted heads
Mailing address	mailing address, mailing, address
You.all keep changing your format.how do I find in my account if.an tracrataton has cleared?	format account, cleared, changing format, tracrataton, changing
does AIQFinancial accept zelle payments	zelle payments, does aiqfinancial, payments, accept, does
My purse  was stolen	purse stolen, purse, stolen
Why can I not deposit checks using the app	deposit checks, deposit, using app, checks using, using
Hello! I have been trying to log into my account on the AIQFinancial banking app but it says my account is locked, could you help me get that fixed? Thank you!	account locked, banking app, trying log, app says
i have been trying to deposit a check online and it will not let me	deposit check, check, online, trying, let
I’m trying to make a remote deposit of my monthly paycheck. My account is overdrawn and the mobile ap says my deposit accounts can’t be retrieved?!	remote deposit, account overdrawn, mobile ap, monthly paycheck, retrieved
Hi there! I need some help with…it says I have an invalid password so I cannot access my acct.  if I try one more time it will lock me out	invalid password, access acct, time lock, help says
I am trying to confirm that I was removed off  joint account	joint account, removed joint, confirm removed, trying confirm, trying
Certificate of Deposit	certificate deposit, certificate, deposit
How to switch an account to e statements	switch account, account statements, switch, statements
I am trying to update my mobile banking contact information. My daughter recently died and all of the information is under her name and phone number and I no longer have access to her phone and don't know her email password.	banking contact, email password, update mobile, died information, daughter recently
I need my account unlocked	account unlocked, unlocked, need account
Why can I transfer money from my savings to my checking. It keeps reading failed	savings checking, reading failed, transfer, money, keeps
We are leaving on a cruise on Monday to Mexico. Is there anything we need to do to keep our bank cards working?	bank cards, leaving cruise, mexico need, working, monday
Raising spending limit	spending limit, raising spending, spending, limit, raising
Does AIQFinancial have a prepaid credit card to use for all online purchases?	aiqfinancial prepaid, card use, credit, online, does
What are the banks hours today	banks hours, hours today, banks, hours, today
Hi there! I need some help with… retrieving my username	retrieving username, help retrieving, need help, username
Hi there! I need some help with…my check for $550 written is going back. I have $56 in my account. Can you please make sure to clear that check?	check 550, sure clear, account make, written going, need help
Phillip you still there?	phillip
High I am trying to see if I still have a recurring transfer from my checking to my mortgage. My mortgage payment recently dropped due to needing less in the escrow so I want to cancel that initial recurring payment and set up a new one for the new amount	recurring payment, escrow want, transfer checking, cancel initial, high trying
I *just* opened a new account at a branch	account branch, new account, opened new, new, just
Hi. I just ordered checks, but did not receive receipt in email. I’m just double checking on that.	receipt email, checks did, did receive, ordered, just double
Hi there! I need some help with unlocking my account	unlocking account, help unlocking, hi need
Incoming wire transfer	wire transfer, incoming wire, transfer, wire, incoming
video chat	video chat, chat, video
Why did I get a service charge again?  I talked to someone on March 30 and they refunded service charge.  The balance has not dropped under 2500k   Thanks	refunded service, charge balance, dropped, 2500k, talked march
Please close this account. I have been working on consolidating, as I am get older, & trying to simplify my banking, insurance & investment activities. I thank you for the many years of service.	close account, simplify banking, insurance investment, working consolidating, thank years
Agent	agent
Secured credit card	secured credit, credit card, secured, card, credit
How to set up wire transfer	wire transfer, set wire, wire, transfer, set
My app won't show my balance and activity what's been coming out of my account	balance activity, app won, activity coming, won balance, coming account
Unlock my account	unlock account, unlock
mailing address for human resource department	resource department, mailing address, human resource, address human, human
I applied for a checking account how do I know if approved	applied checking, approved, applied, know
I am trying to pay loan and it shows error where I can’t pay	pay loan, error pay, shows error, trying, shows
Hi there! I need some help with… a transaction..\nI was charged twice at the store this morning the transaction was of 54.51 so they charged me 109.02 so I'm wanting to cancel one of the 54.51	cancel 54, charged twice, transaction ni, 109 02, need help
How do I set my car payment up for automatic withdrawals?	payment automatic, car payment, withdrawals, set car, automatic
Want to change the picture on new debit card. How can I get it ordered and do curbside pickup?	debit card, change picture, curbside pickup, ordered, new
Hi there! I need some help with...	need help, hi need
Unlock online ID	online id, unlock online, unlock, online, id
We will be traveling from now until sometime in August.  We are headed to Alaska, entering Canada May 22.  Arriving in AK around June 5th, Return trip is planned starting early August.	alaska entering, traveling august, june 5th, canada, return
I need to speak to a real person about faulty boots i purchased	faulty boots, person faulty, speak real, purchased
Hi there! I need some help with…lost debit card. I've disabled it until I can visit my branch tomorrow. Will this secure my account or should I report it lost?	lost debit, account report, disabled visit, branch tomorrow, secure
AIQFinancial mobile app trying to set it up. Won’t let me set a password	aiqfinancial mobile, set password, app trying, trying set, won let
Hi, I am looking for your lowest fee checking account. What would that be?	lowest fee, fee checking, checking account, looking lowest, hi looking
Like to cancel my card	cancel card, like cancel, cancel, card, like
I need to raise my spending limit	spending limit, raise spending, raise, limit
credit card	credit card, card, credit
Can I see individual checks deposited	checks deposited, individual checks, checks, deposited, individual
Close my account	close account, close
other
I applied yesterday online, how do I go about getting my account number	account number, applied yesterday, online getting, yesterday online, number
how do i deposit a check emailed to me ?	deposit check, deposit, check emailed, emailed, check
My card was declined	card declined, declined, card
what’s the maximum amount my account can hold	maximum account, maximum, account hold, hold
Unblock my card I verify any transactions	unblock card, card verify, verify transactions, card, verify
change address for mail	change address, address mail, mail, address, change
